source,product_name,price,currency,rating,review_count,description,category,availability,product_url,image_url,scraped_at,price_raw,rating_raw
laptops,Asus VivoBook X441NA-GA190,295.99,$,3,0,"Asus VivoBook X441NA-GA190 Chocolate Black, 14"", Celeron N3450, 4GB, 128GB SSD, Endless OS, ENG kbd",Laptops,Available,https://webscraper.io/test-sites/e-commerce/allinone/product/60,/images/test-sites/e-commerce/items/cart2.png,2026-09-04T15:26:19.372593,$295.99,3
laptops,Prestigio SmartBook 133S Dark Grey,299.0,$,2,0,"Prestigio SmartBook 133S Dark Grey, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam",Laptops,Available,https://webscraper.io/test-sites/e-commerce/allinone/product/61,/images/test-sites/e-commerce/items/cart2.png,2026-09-04T15:26:19.373262,$299,2
laptops,Prestigio SmartBook 133S Gold,299.0,$,4,0,"Prestigio SmartBook 133S Gold, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam",Laptops,Available,https://webscraper.io/test-sites/e-commerce/allinone/product/62,/images/test-sites/e-commerce/items/cart2.png,2026-09-04T15:26:19.373871,$299,4
laptops,Aspire E1-510,306.99,$,3,0,"15.6"", Pentium N3520 2.16GHz, 4GB, 500GB, Linux",Laptops,Available,https://webscraper.io/test-sites/e-commerce/allinone/product/32,/images/test-sites/e-commerce/items/cart2.png,2026-09-04T15:26:19.374465,$306.99,3
laptops,Lenovo V110-15IAP,321.94,$,3,0,"Lenovo V110-15IAP, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",Laptops,Available,https://webscraper.io/test-sites/e-commerce/allinone/product/63,/images/test-sites/e-commerce/items/cart2.png,2026-09-04T15:26:19.375053,$321.94,3
laptops,Lenovo V110-15IAP,356.49,$,2,0,"Asus VivoBook 15 X540NA-GQ008T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 500GB, Windows 10 Home, En kbd",Laptops,Available,https://webscraper.io/test-sites/e-commerce/allinone/product/64,/images/test-sites/e-commerce/items/cart2.png,2026-09-04T15:26:19.375800,$356.49,2
laptops,Hewlett Packard 250 G6 Dark Ash Silver,364.46,$,1,0,"Hewlett Packard 250 G6 Dark Ash Silver, 15.6"" HD, Celeron N3060 1.6GHz, 4GB, 128GB SSD, DOS",Laptops,Available,https://webscraper.io/test-sites/e-commerce/allinone/product/65,/images/test-sites/e-commerce/items/cart2.png,2026-09-04T15:26:19.376485,$364.46,1
laptops,Acer Aspire 3 A315-31 Black,372.7,$,2,0,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",Laptops,Available,https://webscraper.io/test-sites/e-commerce/allinone/product/66,/images/test-sites/e-commerce/items/cart2.png,2026-09-04T15:26:19.377180,$372.7,2
laptops,Acer Aspire A315-31-C33J,379.94,$,2,0,"Acer Aspire A315-31-C33J Black 15.6"", HD, Celeron N3350, 4GB DDR3L, 128GB, Windows 10 Home, ENG",Laptops,Available,https://webscraper.io/test-sites/e-commerce/allinone/product/67,/images/test-sites/e-commerce/items/cart2.png,2026-09-04T15:26:19.379210,$379.94,2
laptops,Acer Aspire ES1-572 Black,379.95,$,4,0,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Linux",Laptops,Available,https://webscraper.io/test-sites/e-commerce/allinone/product/68,/images/test-sites/e-commerce/items/cart2.png,2026-09-04T15:26:19.380651,$379.95,4
laptops,Acer Aspire 3 A315-31 Black,391.48,$,4,0,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",Laptops,Available,https://webscraper.io/test-sites/e-commerce/allinone/product/69,/images/test-sites/e-commerce/items/cart2.png,2026-09-04T15:26:19.381534,$391.48,4
laptops,Acer Aspire 3 A315-21,393.88,$,3,0,"Acer Aspire 3 A315-21, 15.6"", AMD A4-9120. 4GB. 128GB SSD, Linux",Laptops,Available,https://webscraper.io/test-sites/e-commerce/allinone/product/70,/images/test-sites/e-commerce/items/cart2.png,2026-09-04T15:26:19.382480,$393.88,3
